path,onset_seq,run_len,t_s,t_mono_ns,t_real_ns
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,484844,17,370.294620,1257609488413,1788567995197085184
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,487903,15,372.751129,1260065996712,1788567997653593600
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,492940,4,376.797575,1264112442601,1788568001700039424
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,494004,12,377.650043,1264964910950,1788568002552507904
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,495921,16,379.188965,1266503833397,1788568004091430400
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,496047,3,379.293253,1266608120705,1788568004195717632
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,496943,4,380.011869,1267326736742,1788568004914333696
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,504296,12,385.913803,1273228670759,1788568010816267776
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,504578,3,386.143066,1273457933894,1788568011045530624
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,506212,3,387.454866,1274769733741,1788568012357330688
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,506680,15,387.827752,1275142620376,1788568012730217472
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,515512,16,394.919709,1282234576926,1788568019822173952
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,516458,15,395.679341,1282994208580,1788568020581805312
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,517468,14,396.490377,1283805245482,1788568021392842240
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,527743,1,404.739098,1292053966336,1788568029641563136
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,527761,1,404.753553,1292068420872,1788568029656017920
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,527806,1,404.789698,1292104565890,1788568029692162816
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,527842,1,404.818593,1292133461357,1788568029721058304
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,527896,1,404.861956,1292176824066,1788568029764421120
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,590696,4,455.288953,1342603820936,1788568080191417856
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,596361,4,459.837906,1347152773812,1788568084740370688
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,596925,17,460.288118,1347602985716,1788568085190582784
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,597465,6,460.723422,1348038289564,1788568085625886464
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,607059,13,468.425659,1355740526654,1788568093328123392
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,607187,14,468.528350,1355843218151,1788568093430815232
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,608007,11,469.187029,1356501896652,1788568094089493504
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,609078,13,470.046791,1357361659074,1788568094949256192
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,616278,14,475.827858,1363142726070,1788568100730322944
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,619961,12,478.785257,1366100124579,1788568103687721472
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,620003,3,478.821759,1366136627477,1788568103724224512
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,626104,15,483.717460,1371032328395,1788568108619925248
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,627681,7,484.984704,1372299571539,1788568109887168512
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,628099,7,485.320339,1372635206531,1788568110222803456
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,630938,1,487.597307,1374912175042,1788568112499771904
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,637278,14,492.688749,1380003616559,1788568117591213312
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,637804,17,493.110683,1380425550786,1788568118013147648
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,638304,14,493.512562,1380827430408,1788568118415027200
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,640467,12,495.249477,1382564344840,1788568120151941888
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,646510,3,500.104245,1387419113153,1788568125006710272
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,646616,9,500.187156,1387502024274,1788568125089620992
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,646626,16,500.210210,1387525077852,1788568125112674816
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,647148,7,500.614681,1387929548940,1788568125517145856
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,649484,8,502.490104,1389804971612,1788568127392568576
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,649694,7,502.658948,1389973816412,1788568127561413376
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,710015,7,551.092949,1438407817337,1788568175995414272
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,729855,8,567.022995,1454337863074,1788568191925459968
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,729943,17,567.092684,1454407552392,1788568191995149312
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,730369,8,567.435709,1454750576527,1788568192338173440
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,730419,7,567.476085,1454790952620,1788568192378549504
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,733701,1,570.108866,1457423734243,1788568195011331072
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,736136,4,572.066901,1459381769143,1788568196969366016
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,738149,8,573.681747,1460996614803,1788568198584211712
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,740819,11,575.825144,1463140012514,1788568200727609344
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,741333,10,576.237966,1463552833918,1788568201140430848
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,741844,13,576.647946,1463962813668,1788568201550410496
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,760067,15,591.279756,1478594624140,1788568216182221056
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,760675,16,591.767877,1479082745417,1788568216670342400
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,762319,5,593.089621,1480404488573,1788568217992085504
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,766216,13,596.217167,1483532034561,1788568221119631616
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,766422,16,596.382334,1483697201747,1788568221284798720
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,768390,17,597.962456,1485277323899,1788568222864920576
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,769294,10,598.688894,1486003761900,1788568223591358976
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,769338,15,598.723749,1486038617223,1788568223626214144
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,769374,12,598.754146,1486069013935,1788568223656610816
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,769468,15,598.828130,1486142997576,1788568223730594304
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,773097,3,601.745084,1489059951741,1788568226647548672
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,778508,17,606.086603,1493401471164,1788568230989068032
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,779010,12,606.490002,1493804869872,1788568231392466944
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,779094,9,606.557821,1493872689176,1788568231460285952
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,780034,14,607.312628,1494627496510,1788568232215093504
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,781068,5,608.143916,1495458784053,1788568233046380800
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,781108,14,608.174975,1495489842758,1788568233077439744
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,836014,1,652.259173,1539574041353,1788568277161638400
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,857947,9,669.871141,1557186008894,1788568294773605632
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,861661,8,672.854017,1560168884966,1788568297756481792
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,862089,13,673.197047,1560511914936,1788568298099511808
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,862523,12,673.545595,1560860463132,1788568298448059904
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,865080,16,675.598414,1562913282263,1788568300500879104
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,869179,14,678.889795,1566204662551,1788568303792259328
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,870323,7,679.809338,1567124206232,1788568304711803136
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,870333,14,679.830339,1567145206734,1788568304732803584
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,870795,17,680.186611,1567501479227,1788568305089076224
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,871169,12,680.487795,1567802663072,1788568305390259968
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,871859,11,681.041918,1568356786059,1788568305944382976
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,881929,6,689.128378,1576443246146,1788568314030842880
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,888148,12,694.120858,1581435725813,1788568319023322624
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,891237,12,696.600995,1583915863247,1788568321503460352
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,891755,7,697.017685,1584332553345,1788568321920150272
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,892217,11,697.387969,1584702836778,1788568322290433792
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,892773,16,697.834005,1585148873505,1788568322736470528
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,894343,15,699.094662,1586409530492,1788568323997127424
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,895409,6,699.951878,1587266746095,1788568324854343168
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,899554,6,703.280031,1590594899364,1788568328182496256
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,899948,13,703.595238,1590910106175,1788568328497703168
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,899976,2,703.625740,1590940608408,1788568328528205312
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,902611,8,705.734077,1593048945294,1788568330636542208
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,911710,14,713.039225,1600354093382,1788568337941690368
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,911752,5,713.074573,1600389441125,1788568337977038080
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,912130,12,713.376620,1600691487664,1788568338279084544
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,913206,9,714.240948,1601555815864,1788568339143412736
