221 1299 83 12968 278233 278239 377780 384089 384095 10526
222 1299 51 12970 279168 279173 379087 385396 385402 10528
223 1298 137 12972 280104 280108 380394 386703 386709 10530
224 1299 73 12976 281040 281044 381614 388009 388015 10534
225 1299 51 12978 281975 281979 382852 389316 389322 10536
226 1298 62 12980 282909 282914 384158 390622 390628 10538
227 1298 51 12982 283844 283849 385465 391929 391935 10540
228 1298 117 12984 284780 284785 386772 393236 393242 10542
229 1298 52 12988 285714 285719 388000 394542 394548 10546
230 1300 51 12990 286649 286653 389307 395849 395855 10548
231 1299 52 12992 287585 287589 390586 397158 397164 10550
232 1300 51 12994 288519 288523 391848 398467 398473 10552
233 1301 51 12996 289457 289461 393101 399778 399784 10554
234 1300 102 12998 290394 290399 394317 401088 401094 10556
235 1302 51 13002 291332 291336 395610 402397 402404 10560
236 1302 52 13004 292271 292275 396851 403709 403715 10562
237 1302 51 13006 293209 293213 398162 405020 405027 10564
238 1302 51 13008 294147 294152 399472 406331 406337 10566
239 1300 102 13010 295084 295088 400782 407641 407647 10568
240 1301 51 13014 296019 296024 402090 408949 408956 10572
241 1300 51 13016 296957 296961 403400 410258 410264 10574
242 1299 51 13018 297892 297896 404673 411566 411572 10576
243 1299 51 13020 298826 298830 405926 412873 412879 10578
244 1299 51 13022 299761 299766 407170 414181 414187 10580
245 1299 51 13024 300696 300700 408451 415488 415494 10584
246 1298 102 13026 301632 301637 409757 416795 416801 10586
247 1299 51 13030 302567 302571 410998 418102 418108 10588
248 1298 51 13032 303501 303505 412305 419409 419415 10590
249 1298 51 13034 304436 304440 413563 420716 420722 10592
250 1299 51 13036 305370 305375 414825 422023 422030 10594
251 1298 51 13038 306306 306311 416061 423331 423337 10596
252 1300 0 13042 307240 307245 417345 424637 424643 10600
253 1298 102 13042 308176 308180 418654 425946 425952 10600
254 1298 51 13046 309112 309115 419959 427252 427258 10604
255 1298 51 13048 310045 310049 421266 428559 428565 10606
256 1298 51 13050 310979 310984 422572 429865 429871 10608
257 1299 51 13052 311915 311919 423878 431172 431178 10610
258 1298 51 13054 312850 312854 425185 432479 432485 10612
259 1299 51 13056 313785 313789 426492 433786 433792 10614
260 1298 51 13058 314720 314725 427800 435094 435100 10616
261 1299 51 13060 315655 315659 429107 436401 436407 10618
262 1298 102 13062 316590 316594 430415 437709 437715 10620
263 1300 0 13066 317528 317532 431711 439015 439021 10624
264 1297 102 13066 318462 318466 432926 440323 440329 10625
265 1299 51 13070 319396 319401 434231 441630 441636 10628
266 1298 51 13072 320332 320336 435538 442937 442943 10630
267 1299 51 13074 321267 321271 436845 444244 444250 10632
268 1299 51 13076 322203 322207 438153 445552 445558 10634
269 1300 51 13078 323137 323142 439462 446861 446867 10636
270 1298 51 13080 324073 324077 440769 448168 448174 10638
271 1299 51 13082 325007 325012 442076 449475 449481 10640
272 1299 51 13084 325942 325946 443384 450783 450789 10642
