label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
soak148_RAW,/mnt/onetb/scratch/qpsk_variants/two_jup/soak148.iq,113,0,0.000,13560,5904,0.43539823,0.43497024
ctrl20_RAW,/mnt/onetb/scratch/qpsk_variants/two_jup/ctrl20.iq,91,0,0.000,10920,4780,0.43772894,0.43703704
ne146_now_RAW,/mnt/onetb/scratch/qpsk_variants/two_jup/ne146_now.iq,58,0,0.000,6960,3053,0.43864943,0.43786550
othercable,/mnt/onetb/scratch/qpsk_variants/two_jup/othercable_dec2.iq,33,0,0.000,3960,1679,0.42398990,0.42239583
hdRAW,/mnt/onetb/scratch/qpsk_variants/two_jup/hostdma_ch1.iq,75,0,0.000,9000,3883,0.43144444,0.43063063
hdDEC2,/mnt/onetb/scratch/qpsk_variants/two_jup/hostdma_ch1_dec2.iq,27,0,0.000,3240,1404,0.43333333,0.43141026
ota_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/ota1_dec2.iq,32,0,0.000,3840,1683,0.43828125,0.43655914
stock_ota,/mnt/onetb/scratch/qpsk_variants/two_jup/stock_ota.iq,65,0,0.000,7800,3378,0.43307692,0.43255208
stock_ota_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/stock_ota_dec2.iq,37,0,0.000,4440,1956,0.44054054,0.43888889
rxtxoff,/mnt/onetb/scratch/qpsk_variants/two_jup/rxtxoff.iq,66,0,0.000,7920,3649,0.46073232,0.46064103
rxtxoff_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/rxtxoff_dec2.iq,39,0,0.000,4680,2024,0.43247863,0.43048246
f2000000000,/mnt/onetb/scratch/qpsk_variants/two_jup/sweep_2000000000_dec2.iq,32,0,0.000,3840,1697,0.44192708,0.44059140
f3500000000,/mnt/onetb/scratch/qpsk_variants/two_jup/sweep_3500000000_dec2.iq,31,0,0.000,3720,1610,0.43279570,0.43055556
f1000000000,/mnt/onetb/scratch/qpsk_variants/two_jup/sweep_1000000000_dec2.iq,32,0,0.000,3840,1659,0.43203125,0.43010753
manualgain,/mnt/onetb/scratch/qpsk_variants/two_jup/manualgain_dec2.iq,32,0,0.000,3840,1691,0.44036458,0.43870968
manualgain_conj_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/manualgain_conj_dec2.iq,32,0,0.000,3840,1691,0.44036458,0.43870968
manualgain_swap_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/manualgain_swap_dec2.iq,32,0,0.000,3840,1691,0.44036458,0.43870968
