# outframe clk nwords cksum16 cfc_est sw stale rep
180 35972542 191 61522 -2052 0 0 0
181 36169870 191 59928 -2036 0 0 0
182 36367198 191 59658 -2032 0 0 0
183 36564526 191 58861 -2060 0 0 0
184 36761854 191 60850 -2054 0 0 0
185 36959182 191 62129 -2041 0 0 0
186 37156510 191 60298 -2038 0 0 0
187 37353838 191 61505 -2040 0 0 0
188 37551166 191 60786 -2019 0 0 0
189 37748494 191 60698 -2053 0 0 0
190 37945822 191 61753 -2036 0 0 0
191 38143150 191 60750 -2035 0 0 0
192 38340478 191 61156 -2035 0 0 0
193 38537806 191 59838 -2051 0 0 0
194 38735134 191 61614 -2027 0 0 0
195 38932462 191 61131 -2061 0 0 0
196 39129790 191 60225 -2060 3 3 0
197 39327118 191 63093 -2046 0 0 0
198 39524446 191 61496 -2052 0 0 0
199 39721774 191 62734 -2038 0 0 0
200 39919102 191 62008 -2040 0 0 0
