# word	offset_bits  (frame=24640 bits; window=32 bits, LSB-packed from FEC startIn)
07B782CD	11116
07B8C441	18996
07BABEA1	15633
07C09625	14070
07C0F8C2	3905
07C385CD	18851
07C395F6	6126
07C61119	3894
07CC6897	19828
07D05FD4	18704
07D089C8	6483
07D32344	18014
07D595A5	7225
07D5C65A	14542
07D5DD18	22691
07D722CE	22132
07DB3624	10315
07DE889B	7815
07E02596	1041
07E08489	7940
07E1ACDC	7122
07E28F12	4689
07E6E696	21755
07E74C71	9554
07E87A3F	237
07E89476	7185
07EB0B7E	8348
07F0DD46	15576
07F59BBE	14419
07F7234C	20728
07FB0C0C	18376
07FC568E	23605
07FD268B	24574
07FDA473	22489
07FF6F33	9274
0806897F	6435
0808A58A	20558
080F5BAF	20114
081586F7	17015
081B2304	10607
081BD46B	18597
081DC0A7	6922
081EA914	8993
081F6CD8	10321
081FFDBC	9280
08228504	11948
0826596A	3633
082703C7	17254
0827ECEB	1113
082A2FD3	16205
082BFF0E	18538
0830642A	13910
0830BFFA	22662
0831A3A1	18503
0836319D	14162
08381CA2	2447
0838624B	6360
0840AC37	17020
084252A9	49
084289F6	12478
0845F60A	1999
084732C7	22785
084896FF	7928
0849A919	910
084A5525	44
084C5A3D	14587
084F95A8	4229
08513EC4	12473
085181CB	5723
0853B07C	3925
0854628D	2795
0855B8CE	5344
085BEC69	14034
085D35C0	986
085FB638	15738
08610DB2	1606
0863D53B	8228
0863EED1	13983
0864E4DD	7613
08653B28	11458
08678926	3411
086808CD	3666
0869B498	22245
0869E538	21810
086AD27B	9688
086CD3D4	1521
086D904B	1595
086F9283	262
086FEBF2	3099
087904D5	15414
0879C583	12419
087DD7F5	379
0880468E	10141
0880FFB4	22500
0881A930	15851
0882633B	19501
0882A972	8632
0885EE99	23263
0889E880	23689
088CF0BE	3879
088D10F8	20077
089776E2	23174
0897F344	10930
089A533D	22422
089AA46A	24477
089B183E	14091
089C50D3	16255
089C8C3E	6471
089F9613	5768
089FD207	11990
08A04967	13493
08A14129	11942
08A58AC6	20550
08A6338A	12328
08A84C3F	20631
08AEC0CB	23319
08B01605	21669
08B78E42	18430
08B7D10C	16328
08B88B18	3035
08B93A3A	17566
08BB4CDA	20046
08BBC267	21080
08BE880D	10201
08BEAF9F	21905
08BEC15D	1994
08C04E9B	543
08C4A2AE	8171
08C4E43F	2545
08CA6B99	16629
08CA7720	7009
08CCEABF	14794
08CD8413	3650
08D06393	1849
08D1CD58	10128
08D1F763	5005
08D43777	19258
08D57CD6	8018
08D5D026	13811
08DF5CB4	9148
08E63AE1	570
08E658E9	22780
08EA212D	21176
08ED9DF2	14952
08F1F7C5	18752
08F27BB5	20291
08F31383	5809
08F71871	13395
08FA8CF5	22859
08FBFA37	20809
08FDA35D	773
0901729F	23102
09019B23	19455
09086F92	270
0909237E	11208
090C61F2	12139
0912DDE6	23494
0912DFE8	7923
09164EFA	21710
09196F4D	24098
091ABF11	11648
092296E4	11077
09237E99	11200
0927FD38	21521
092CF852	13480
092FCFEA	3301
0935232C	905
0935556A	23950
093574C5	11567
093D117A	872
093DB884	3124
0943570C	4315
094571DC	19865
0949EF1C	21978
094AA4AA	39
094BC30F	11923
094C6EF4	4148
094CFEAA	18264
09504045	20571
09509F30	14462
0951BDB1	9388
095B97C9	11410
095C4EE5	20666
095C7F44	23747
095CCCF9	16364
09625808	14058
0965AFA2	1027
096629D1	6040
096C16CC	21157
096D64F8	15201
0970FB1D	10642
09712FFB	5559
0975AFAC	8773
0976A387	1574
097B5850	17504
