# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
0A37488E	1735
0A37AFC6	5041
0A396967	6776
0A3DB8AD	6193
0A3E54E3	8377
0A441970	930
0A457BCA	5269
0A470F82	5892
0A4830B8	1838
0A5BD49E	10773
0A6A53D4	9038
0A6CE2D2	773
0A776DA0	7730
0A84ACC2	10291
0A85053D	9364
0A85678A	7488
0A86AA49	10236
0A8D5D9A	1138
0A93D983	10530
0A9EB37F	3920
0A9EC0A3	11508
0A9F0CA1	6109
0AA1987C	7749
0AA4D2D3	6176
0AA7665B	8640
0AACC633	9461
0AB5DEB2	723
0AB71765	8960
0AB79D3E	2917
0ABDEB8B	9797
0AC261D4	1337
0ACC36B8	2197
0AD447C6	432
0ADAFD23	1262
0ADD0A1A	11452
0ADDA877	11918
0AE0DC76	261
0AE2FB28	311
0AEA44AA	6907
0AEB694E	4098
0AECEA8F	5180
0AED4934	9838
0AEFAC1B	6542
0AFA8A4A	3147
0B05D247	5619
0B17FD27	8545
0B25093F	4254
0B27BD48	7866
0B2928E2	9437
0B2A3AF9	10716
0B2B0ADA	1254
0B39AACE	5684
0B3F9470	9403
0B42AF7A	9792
0B451552	2643
0B459771	9317
0B4EFFB0	1598
0B55E306	8432
0B5A29CB	2372
0B5FF89E	1753
0B615526	7328
0B6B4EF7	5333
0B712DA4	8115
0B7305B0	823
0B732156	8848
0B7B42F5	5561
0B7D3D14	11474
0B8ADA45	1634
0B8EF994	8205
0B8F9FD9	1848
0B93B39C	944
0BC27681	1959
0BD032AF	3976
0BD50DEB	7676
0BD56B5A	5570
0BD7F549	11223
0BE1F0FE	4126
0BE40CF7	10069
0BE7B72A	2438
0BF2BD23	6258
0BF66389	6967
0BF8FA62	5930
0BF905FD	4510
0BFDBCCC	10917
0BFDF617	699
0C0959A0	9200
0C1A2C32	6688
0C1E1EF2	4022
0C20BF66	6961
0C20CAEE	11337
0C2E3E7F	1845
0C2FF7D8	696
0C316F46	9714
0C347C71	11014
0C39E82E	8194
0C3BF430	9189
0C4AB3AE	10684
0C4DA11C	4799
0C525772	862
0C53FCC9	7361
0C585548	4600
0C593F70	10252
0C5BD19C	9717
0C671677	2181
0C69C704	11120
0C6D22BE	7093
0C7237F4	10361
0C725F71	3894
0C787A3A	3605
0C7F2A1F	2406
0C885146	7764
0C8D557F	8883
0C8DFFD1	9856
0C921002	6072
0C9248A8	6664
0C944D44	1515
0C956AF8	1882
0C9C44B7	7047
