126 1273 51 1273 1273 15600040 1273
127 1273 54 1273 1273 15598275 1273
128 1273 51 1273 1273 15596314 1273
129 1272 54 1272 1272 15593491 1272
130 1273 51 1273 1273 15595597 1273
131 1270 106 1270 1271 15572583 1271
132 1273 51 1273 1272 15597987 1272
133 1273 51 1273 1273 15594801 1273
134 1272 51 1272 1273 15596652 1273
135 1273 51 1273 1272 15596148 1272
136 1273 51 1273 1273 15599786 1273
137 1272 103 1272 1272 15585185 1272
138 1272 51 1272 1273 15598892 1273
139 1273 51 1273 1272 15597704 1273
140 1273 51 1273 1273 15602610 1273
141 1273 51 1273 1273 15598336 1272
142 1273 51 1273 1273 15593699 1273
143 1272 51 1272 1272 15593331 1272
144 1272 165 1272 1272 15580348 1272
145 1271 51 1271 1271 15586545 1271
146 1272 51 1272 1272 15581143 1272
147 1271 51 1271 1271 15583632 1271
148 1273 51 1274 1275 15626281 1276
149 1275 51 1275 1274 15608208 1274
150 1274 114 1274 1274 15604717 1273
151 1273 51 1272 1272 15599012 1272
152 1273 51 1273 1273 15597200 1273
153 1272 102 1272 1272 15582088 1272
154 1273 0 1274 1274 15612884 1274
155 1271 102 1270 1271 15575838 1271
156 1273 51 1273 1272 15599157 1272
157 1273 51 1273 1273 15601130 1274
158 1273 51 1273 1274 15601740 1273
159 1273 51 1273 1273 15601602 1273
160 1272 51 1273 1272 15589688 1272
161 1273 51 1273 1273 15599246 1273
162 1273 51 1272 1273 15600183 1273
163 1273 51 1274 1273 15601763 1273
164 1273 51 1273 1273 15598561 1273
165 1273 52 1273 1272 15599587 1273
166 1273 51 1272 1274 15601761 1273
167 1273 51 1273 1272 15598452 1272
168 1273 51 1273 1273 15599213 1273
169 1273 51 1273 1273 15599831 1273
170 1272 51 1272 1272 15586725 1272
171 1273 51 1273 1273 15600029 1273
172 1273 51 1273 1273 15597052 1273
173 1272 51 1272 1273 15599637 1273
174 1272 51 1272 1271 15583542 1271
175 1273 114 1273 1273 15596028 1273
176 1271 51 1271 1271 15582627 1272
177 1273 51 1274 1274 15608372 1273
178 1274 51 1274 1274 15619095 1275
179 1275 51 1274 1274 15609605 1273
180 1273 51 1273 1273 15597061 1273
181 1272 51 1272 1272 15591435 1272
182 1273 51 1273 1273 15601487 1273
183 1272 51 1272 1272 15584019 1272
184 1272 51 1273 1273 15595677 1273
185 1273 51 1272 1272 15595408 1272
186 1273 51 1273 1273 15600121 1273
187 1273 51 1273 1273 15600734 1273
188 1273 51 1273 1273 15602599 1273
189 1273 51 1273 1273 15600700 1273
190 1273 52 1273 1273 15599386 1273
191 1273 51 1273 1273 15599543 1273
192 1273 51 1273 1273 15601973 1273
193 1273 51 1273 1273 15601460 1273
194 1273 51 1273 1273 15600498 1273
195 1273 51 1273 1273 15601146 1273
196 1273 51 1273 1273 15600336 1273
197 1273 52 1273 1273 15598541 1273
198 1273 51 1273 1273 15599565 1273
199 1273 51 1273 1273 15601802 1273
200 1272 51 1272 1272 15588360 1272
201 1272 51 1272 1272 15580690 1272
202 1271 51 1271 1271 15582405 1271
203 1272 51 1273 1273 15594488 1273
204 1273 51 1272 1272 15592864 1272
205 1271 51 1271 1271 15580138 1271
206 1273 50555 1273 1274 15607238 1274
207 1273 17295 1273 1272 15597567 1273
208 1273 67903 1273 1273 15598256 1272
209 1272 13830 1272 1272 15584261 1272
210 1272 65447 1273 1273 15595372 1273
211 1273 101 1272 1272 2995632 1272
212 1273 51 1273 1273 0 1273
213 1273 104 1273 1273 0 1273
214 1272 51 1272 1272 0 1272
215 1272 157 1272 1272 0 1273
216 1273 99 1273 1273 0 1272
217 1273 51 1273 1273 0 1273
218 1273 111 1273 1273 0 1273
219 1272 51 1272 1272 0 1272
220 1272 92 1273 1273 0 1273
221 1273 51 1272 1272 0 1272
222 1272 148 1272 1272 0 1272
223 1273 0 1273 1273 0 1273
224 1272 213 1272 1272 0 1272
225 1273 102 1273 1273 0 1273
226 1272 51 1273 1273 0 1273
227 1273 89 1273 1273 0 1273
228 1272 51 1272 1272 0 1272
229 1272 121 1272 1272 0 1272
230 1274 0 1274 1274 0 1273
231 1272 131 1271 1271 0 1273
232 1273 67 1273 1273 0 1272
233 1273 51 1273 1273 0 1273
234 1273 72 1273 1273 0 1274
235 1273 51 1274 1274 0 1274
236 1275 124 1273 1273 0 1272
237 1272 83 1273 1273 0 1273
238 1272 52 1273 1273 0 1273
239 1274 86 1273 1273 0 1273
240 1272 51 1272 1272 0 1272
241 1273 73 1273 1273 0 1273
242 1272 51 1273 1273 0 1273
243 1274 62 1272 1272 0 1272
244 1272 118 1273 1273 0 1273
245 1273 51 1273 1273 0 1273
246 1273 52 1273 1273 0 1273
247 1272 51 1272 1272 0 1272
248 1273 52 1273 1273 0 1274
249 1273 51 1273 1273 0 1272
250 1273 51 1273 1272 0 1272
251 1272 102 1272 1273 0 1273
252 1273 51 1273 1273 0 1273
253 1273 52 1273 1273 0 1273
254 1272 51 1272 1272 0 1272
255 1272 51 1273 1273 0 1273
256 1273 51 1272 1273 0 1273
257 1273 51 1273 1273 0 1272
258 1272 102 1273 1271 0 1273
259 1273 51 1272 1273 0 1273
260 1273 51 1273 1273 0 1272
261 1273 51 1273 1273 0 1273
262 1271 51 1271 1272 0 1272
263 1273 51 1274 1273 0 1275
264 1274 51 1274 1275 0 1274
265 1274 102 1274 1273 0 1272
266 1272 51 1272 1272 0 1272
