ts,iter,mode,class,locks,caps,rssi,temp148,temp146,cfo_hz,capfile
2026-07-07T04:11:32-04:00,42,rearm,VARYING,0/5,"0xEAAC8C8A;0x9D818BA0;0x29E;0x977C410E;0xF0BB2C26;",25.349,57000,59000,-5504,fail_42_041130.iq
2026-07-07T04:11:49-04:00,43,rearm,VARYING,0/5,"0x8316D072;0xC8AD25AC;0x7F0E43FA;0x7D6F8456;0x748C32D6;",25.284,57000,57000,-5526,fail_43_041147.iq
2026-07-07T04:12:06-04:00,44,rearm,VARYING,0/5,"0xFBB01206;0xB8FE9722;0xECDD1956;0x61616510;0xFFD5A996;",25.284,56000,60000,-5526,fail_44_041204.iq
2026-07-07T04:12:23-04:00,45,rearm,VARYING,0/5,"0x2826C458;0xED55BB66;0x8BA7FF48;0x36F4408E;0x1D0FAF60;",25.56,55000,59000,-5518,fail_45_041221.iq
2026-07-07T04:12:40-04:00,46,rearm,VARYING,0/5,"0x9F52BCB2;0x6016C300;0xBF0F48C4;0x4D4370FA;0xF2663B92;",25.257,55000,57000,-5511,fail_46_041238.iq
2026-07-07T04:12:57-04:00,47,rearm,VARYING,0/5,"0xC907142E;0xD9B00FAA;0x3872519C;0x6461E86;0xDDB33B90;",25.105,56000,58000,-5511,fail_47_041255.iq
2026-07-07T04:13:14-04:00,48,rearm,VARYING,0/5,"0xA570E0BC;0x1932E1AE;0x559FB400;0x95EE278E;0x2824ED4C;",25.136,55000,59000,-5511,fail_48_041312.iq
2026-07-07T04:13:32-04:00,49,rearm,VARYING,0/5,"0xB0349C7A;0x6F90B60E;0x31506B90;0x30DBEBD8;0xB4F0B608;",25.145,54000,58000,-5511,fail_49_041330.iq
2026-07-07T04:13:49-04:00,50,rearm,VARYING,0/5,"0x7E009160;0x169605CA;0xAE66A650;0xFCBDC06E;0xD0E08304;",25.19,54000,59000,-5511,fail_50_041347.iq
2026-07-07T04:15:41-04:00,51,reboot,VARYING,0/5,"0x91FE7C72;0xBAA65110;0x7E0FF5F0;0x8489C584;0xA69C2B92;",25.170,57000,59000,-5445,fail_51_041539.iq
2026-07-07T04:15:58-04:00,52,rearm,VARYING,0/5,"0x2238F48C;0x69D4D91A;0x44C4CBD8;0x90710908;0xD4C72CE4;",24.957,57000,59000,-5511,fail_52_041556.iq
2026-07-07T04:16:15-04:00,53,rearm,VARYING,0/5,"0xCEE1226;0x8BCC31E0;0x9D961FBA;0xFF2926E2;0x4EBF639A;",25.318,57000,59000,-5526,fail_53_041613.iq
2026-07-07T04:16:32-04:00,54,rearm,VARYING,0/5,"0x14CFCFFC;0xCCA3CCB0;0xC2C0C08;0x5A5F961A;0x8AB8BB3A;",25.227,56000,59000,-5518,fail_54_041630.iq
2026-07-07T04:16:50-04:00,55,rearm,VARYING,0/5,"0x6FF428A2;0xA4D664E;0x3ABA8A0E;0xF40923B0;0xF1141840;",25.282,56000,57000,-5518,fail_55_041648.iq
2026-07-07T04:17:07-04:00,56,rearm,VARYING,0/5,"0x670E94F4;0x305300AE;0x58858A82;0x5D62AAF8;0x5D62AAF8;",25.347,57000,59000,-5511,fail_56_041705.iq
2026-07-07T04:17:24-04:00,57,rearm,VARYING,0/5,"0x6CF5CEC4;0x894C524C;0x61B541E6;0xEE8C6;0x8FD2B244;",25.12,54000,59000,-5504,fail_57_041722.iq
2026-07-07T04:17:41-04:00,58,rearm,VARYING,0/5,"0xD8933C86;0x38E0B460;0x782096DE;0x6C28798E;0xE70045BC;",24.941,54000,59000,-5504,fail_58_041739.iq
2026-07-07T04:17:58-04:00,59,rearm,VARYING,0/5,"0x1D6F1F82;0x18CD420A;0x1E40CBE2;0x350A63B8;0x59F15880;",25.181,56000,58000,-5496,fail_59_041756.iq
2026-07-07T04:18:16-04:00,60,rearm,VARYING,0/5,"0x23D6C1EA;0xC4E88000;0xC82344B2;0xA6389CB6;0x40A317A2;",25.191,56000,60000,-5496,fail_60_041814.iq
2026-07-07T04:20:01-04:00,61,reboot,VARYING,0/5,"0xC743C304;0x2F948C30;0x9640636C;0x88D2D4C4;0x6AA284E4;",24.971,57000,59000,-5409,fail_61_041959.iq
2026-07-07T04:20:18-04:00,62,rearm,VARYING,0/5,"0x1F8B512E;0x96C5F696;0x51C5B9E2;0x59533880;0xFB47BD6;",25.223,57000,58000,-5489,fail_62_042016.iq
2026-07-07T04:20:35-04:00,63,rearm,VARYING,0/5,"0x30A6270E;0x9B649B6A;0xF5079286;0x51A38456;0xF2B6E57C;",25.51,57000,59000,-5511,fail_63_042033.iq
2026-07-07T04:20:52-04:00,64,rearm,VARYING,0/5,"0x63C57322;0xE21D6C3A;0x2B1AA9BE;0x24293940;0x14B5B7A6;",25.157,57000,59000,-5518,fail_64_042050.iq
2026-07-07T04:21:09-04:00,65,rearm,VARYING,0/5,"0x3C09E74E;0x16;0x5D37A8A8;0x46B05AC0;0x68C8ED66;",25.82,56000,58000,-5518,fail_65_042107.iq
2026-07-07T04:21:26-04:00,66,rearm,VARYING,0/5,"0xB6C57E0C;0x828F585C;0xDBAA4FA8;0x4919C22A;0x49DF5F98;",25.203,56000,58000,-5518,fail_66_042124.iq
2026-07-07T04:21:44-04:00,67,rearm,VARYING,0/5,"0x2C463A7E;0x9ABB478A;0x13E83B3E;0xAFB57388;0x20069E54;",25.85,57000,58000,-5511,fail_67_042142.iq
2026-07-07T04:22:01-04:00,68,rearm,VARYING,0/5,"0x4D81DD32;0x5641F4A8;0x33F43EFA;0x9393B020;0x42B2F342;",25.100,56000,57000,-5504,fail_68_042159.iq
2026-07-07T04:22:18-04:00,69,rearm,VARYING,0/5,"0x4751767A;0x76370BBE;0x40452F84;0x433B1466;0xE7606784;",25.438,55000,58000,-5504,fail_69_042216.iq
2026-07-07T04:22:35-04:00,70,rearm,VARYING,0/5,"0x65097AA2;0x45AE40E8;0xCE5EE2;0xE17B5CE6;0xAE570410;",25.139,54000,57000,-5504,fail_70_042233.iq
2026-07-07T04:24:25-04:00,71,reboot,VARYING,0/5,"0xE8069D50;0xDD990518;0x852FFCE0;0x6EBD7B2C;0x84872B2;",25.259,57000,59000,-5438,fail_71_042423.iq
2026-07-07T04:24:43-04:00,72,rearm,VARYING,0/5,"0x62E5B8A6;0x1DEC8CE0;0xAA465FE2;0x81978C26;0x4BF089D2;",25.229,57000,57000,-5504,fail_72_042441.iq
2026-07-07T04:25:00-04:00,73,rearm,VARYING,0/5,"0x2B74497E;0x3A321F88;0xB5FB6632;0x42436110;0x7EB01F46;",25.166,57000,57000,-5518,fail_73_042458.iq
2026-07-07T04:25:17-04:00,74,rearm,VARYING,0/5,"0x93DB63B4;0x8D6F9F58;0x85085680;0x1E3934EC;0xD7CB3FDA;",25.91,55000,57000,-5518,fail_74_042515.iq
2026-07-07T04:25:34-04:00,75,rearm,VARYING,0/5,"0xA054A0E;0x777112DC;0x1F73449C;0xCE6E698A;0x5830B36E;",25.289,56000,59000,-5511,fail_75_042532.iq
2026-07-07T04:25:51-04:00,76,rearm,VARYING,0/5,"0x9E3E391E;0x279E196C;0xD628977E;0x92E7C6B2;0xF752B12A;",25.100,55000,57000,-5511,fail_76_042549.iq
2026-07-07T04:26:08-04:00,77,rearm,VARYING,0/5,"0x6C6CA33E;0x3831352C;0xEE9D8C58;0xF529FE94;0x52A672B4;",25.160,56000,60000,-5511,fail_77_042606.iq
2026-07-07T04:26:26-04:00,78,rearm,VARYING,0/5,"0x9A6EEB9C;0x6F645208;0x8C022CA2;0x3FD5F722;0xBF13673E;",25.218,56000,58000,-5504,fail_78_042624.iq
2026-07-07T04:26:43-04:00,79,rearm,VARYING,0/5,"0xCB6E9C0A;0xAF77926E;0xEB391626;0xCA515D36;0xEB57CA82;",25.138,56000,59000,-5504,fail_79_042641.iq
2026-07-07T04:27:00-04:00,80,rearm,VARYING,0/5,"0x76F0CF18;0xCC47B070;0xAB446118;0x3D8116D8;0x386F002A;",25.239,56000,57000,-5496,fail_80_042658.iq
2026-07-07T04:28:50-04:00,81,reboot,VARYING,0/5,"0x54D1D7C0;0xF1D11234;0xA95B6C0;0x48A1987A;0x7E6F2CEC;",24.984,57000,57000,-5430,fail_81_042848.iq
