# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-58,6462639,6462638,23,0,0,0,0,1,-11716,-11716,0,0,0,0,2097142,0,0,0,-11848,11535,1,0,0,191572637,0,12146,12146,12180,0,0,12158,12180,1,0,-11732,11687,0,0,0,1,7,0,0
0,0,-57,6462640,6462639,23,0,0,0,0,2,-11912,-11908,0,0,0,0,2097142,0,0,0,-11848,11535,0,1,2001658,207746443,0,12146,12146,12180,0,0,12158,12180,1,0,-11512,11519,0,0,0,1,7,0,0
0,0,-56,6462641,6462640,23,1,0,0,0,3,-11912,-11908,0,0,0,0,2097142,11532,11839,1,-11535,11680,0,0,0,191930752,0,12147,12147,12180,0,0,12158,12180,1,0,-11512,11519,0,0,0,1,7,0,0
0,0,-55,6462642,6462641,24,0,1,0,0,0,-11912,-11908,1,1943,-16410,1,2097142,0,0,0,-11535,11680,0,0,0,191930752,0,12147,12147,12180,0,0,12159,12180,1,0,-11512,11519,1,0,0,1,7,0,0
0,0,-54,6462643,6462642,23,0,0,0,0,1,-11912,-11908,0,0,0,0,2097142,0,0,0,-11535,11680,1,0,0,191930752,0,12147,12147,12180,0,0,12159,12180,1,0,-11512,11519,0,0,0,1,7,0,0
0,0,-53,6462644,6462643,23,0,0,0,0,2,12128,12136,0,0,0,0,2097142,0,0,0,-11535,11680,0,1,393613,208980494,0,12147,12147,12180,0,0,12159,12180,1,0,11609,11553,0,0,0,1,7,0,0
0,0,-52,6462645,6462644,23,1,0,0,0,3,12128,12136,0,0,0,0,2097142,11894,-12078,1,-11752,-11809,0,0,0,192114976,0,12148,12148,12180,0,0,12159,12180,1,0,11609,11553,0,0,0,1,7,0,0
0,0,-51,6462646,6462645,24,0,1,0,0,0,12128,12136,1,1707,-16246,1,2097142,0,0,0,-11752,-11809,0,0,0,192114976,0,12148,12148,12180,0,0,12160,12180,1,0,11609,11553,1,0,0,1,7,0,0
0,0,-50,6462647,6462646,23,0,0,0,0,1,12128,12136,0,0,0,0,2097142,0,0,0,-11752,-11809,1,0,0,192114976,0,12148,12148,12180,0,0,12160,12180,1,0,11609,11553,0,0,0,1,7,0,0
0,0,-49,6462648,6462647,23,0,0,0,0,2,-12136,-12196,0,0,0,0,2097142,0,0,0,-11752,-11809,0,1,2089909,210193553,0,12148,12148,12180,0,0,12160,12180,1,0,11507,11499,0,0,0,1,7,0,0
0,0,-48,6462649,6462648,23,1,0,0,0,3,-12136,-12196,0,0,0,0,2097142,-11733,12072,1,11798,11844,0,0,0,193144622,0,12149,12149,12180,0,0,12160,12180,1,0,11507,11499,0,0,0,1,7,0,0
0,0,-47,6462650,6462649,24,0,1,0,0,0,-12136,-12196,1,1840,-16385,1,2097142,0,0,0,11798,11844,0,0,0,193144622,0,12149,12149,12180,0,0,12161,12180,1,0,11507,11499,1,0,0,1,7,0,0
0,0,-46,6462651,6462650,23,0,0,0,0,1,-12136,-12196,0,0,0,0,2097142,0,0,0,11798,11844,1,0,0,193144622,0,12149,12149,12180,0,0,12161,12180,1,0,11507,11499,0,0,0,1,7,0,0
0,0,-45,6462652,6462651,23,0,0,0,0,2,12176,12192,0,0,0,0,2097142,0,0,0,11798,11844,0,1,2117029,211182323,0,12149,12149,12180,0,0,12161,12180,1,0,11507,11519,0,0,0,1,7,0,0
0,0,-44,6462653,6462652,23,1,0,0,0,3,12176,12192,0,0,0,0,2097142,-11611,-11758,1,-11800,-11879,0,0,0,194011194,0,12150,12150,12180,0,0,12161,12180,1,0,11507,11519,0,0,0,1,7,0,0
0,0,-43,6462654,6462653,24,0,1,0,0,0,12176,12192,1,1774,-16258,1,2097142,0,0,0,-11800,-11879,0,0,0,194011194,0,12150,12150,12180,0,0,12162,12180,1,0,11507,11519,1,0,0,1,7,0,0
0,0,-42,6462655,6462654,23,0,0,0,0,1,12176,12192,0,0,0,0,2097142,0,0,0,-11800,-11879,1,0,0,194011194,0,12150,12150,12180,0,0,12162,12180,1,0,11507,11519,0,0,0,1,7,0,0
0,0,-41,6462656,6462655,23,0,0,0,0,2,-11952,-12208,0,0,0,0,2097142,0,0,0,-11800,-11879,0,1,2081977,212228831,0,12150,12150,12180,0,0,12162,12180,1,0,11569,11548,0,0,0,1,7,0,0
0,0,-40,6462657,6462656,23,1,0,0,0,3,-11952,-12208,0,0,0,0,2097142,-11587,-11516,1,11771,11842,0,0,0,195458029,0,12151,12151,12180,0,0,12162,12180,1,0,11569,11548,0,0,0,1,7,0,0
0,0,-39,6462658,6462657,24,0,1,0,0,0,-11952,-12208,1,1821,-16595,1,2097142,0,0,0,11771,11842,0,0,0,195458029,0,12151,12151,12180,0,0,12163,12180,1,0,11569,11548,1,0,0,1,7,0,0
0,0,-38,6462659,6462658,23,0,0,0,0,1,-11952,-12208,0,0,0,0,2097142,0,0,0,11771,11842,1,0,0,195458029,0,12151,12151,12180,0,0,12163,12180,1,0,11569,11548,0,0,0,1,7,0,0
0,0,-37,6462660,6462659,23,0,0,0,0,2,-11552,11952,0,0,0,0,2097142,0,0,0,11771,11842,0,1,3565568,212138996,0,12151,12151,12180,0,0,12163,12180,1,0,11509,11464,0,0,0,1,7,0,0
0,0,-36,6462661,6462660,23,1,0,0,0,3,-11552,11952,0,0,0,0,2097142,-11612,-11707,1,11494,-11819,0,0,0,196043732,0,12152,12152,12180,0,0,12163,12180,1,0,11509,11464,0,0,0,1,7,0,0
0,0,-35,6462662,6462661,24,0,1,0,0,0,-11552,11952,1,-1818,16564,1,2097142,0,0,0,11494,-11819,0,0,0,196043732,0,12152,12152,12180,0,0,12164,12180,1,0,11509,11464,1,0,0,1,7,0,0
0,0,-34,6462663,6462662,23,0,0,0,0,1,-11552,11952,0,0,0,0,2097142,0,0,0,11494,-11819,1,0,0,196043732,0,12152,12152,12180,0,0,12164,12180,1,0,11509,11464,0,0,0,1,7,0,0
0,0,-33,6462664,6462663,23,0,0,0,0,2,-11556,11480,0,0,0,0,2097142,0,0,0,11494,-11819,0,1,6897040,212046414,0,12152,12152,12180,0,0,12164,12180,1,0,11594,11507,0,0,0,1,7,0,0
0,0,-32,6462665,6462664,23,1,0,0,0,3,-11556,11480,0,0,0,0,2097142,-11554,-11576,1,11655,11766,0,0,0,196127674,0,12153,12153,12180,0,0,12164,12180,1,0,11594,11507,0,0,0,1,7,0,0
0,0,-31,6462666,6462665,24,0,1,0,0,0,-11556,11480,1,-1827,16593,1,2097142,0,0,0,11655,11766,0,0,0,196127674,0,12153,12153,12180,0,0,12165,12180,1,0,11594,11507,1,0,0,1,7,0,0
0,0,-30,6462667,6462666,23,0,0,0,0,1,-11556,11480,0,0,0,0,2097142,0,0,0,11655,11766,1,0,0,196127674,0,12153,12153,12180,0,0,12165,12180,1,0,11594,11507,0,0,0,1,7,0,0
0,0,-29,6462668,6462667,23,0,0,0,0,2,-11900,11612,0,0,0,0,2097142,0,0,0,11655,11766,0,1,3640864,211960232,0,12153,12153,12180,0,0,12165,12180,1,0,-11675,-11721,0,0,0,1,7,0,0
0,0,-28,6462669,6462668,23,1,0,0,0,3,-11900,11612,0,0,0,0,2097142,-11778,-11833,1,11530,11629,0,0,0,196205487,0,12154,12154,12180,0,0,12165,12180,1,0,-11675,-11721,0,0,0,1,7,0,0
0,0,-27,6462670,6462669,24,0,1,0,0,0,-11900,11612,1,1813,-16471,1,2097142,0,0,0,11530,11629,0,0,0,196205487,0,12154,12154,12180,0,0,12166,12180,1,0,-11675,-11721,1,0,0,1,7,0,0
