# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-3,1973672,1973671,0,0,0,0,0,2,11492,-11784,0,0,0,0,2097143,0,0,0,-11535,-11676,0,1,426458,210746098,0,59,59,62,0,0,71,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-2,1973673,1973672,0,1,0,0,0,3,11492,-11784,0,0,0,0,2097143,11602,-11528,1,-11874,11881,0,0,0,194521133,0,60,60,62,0,0,71,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-1,1973674,1973673,1,0,1,0,0,0,11492,-11784,1,-13067,-10511,1,2097143,0,0,0,-11874,11881,0,0,0,194521133,0,60,60,62,0,0,72,62,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1973675,1973674,0,0,0,0,0,1,11836,-11568,0,0,0,0,2097143,0,0,0,-11874,11881,1,0,0,194521133,0,60,60,62,0,0,72,62,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1973676,1973675,0,0,0,0,0,2,11672,-11620,0,0,0,0,2097143,0,0,0,-11874,11881,0,1,434285,210571286,0,60,60,62,0,0,72,62,0,0,0,0,0,0,0,0,0,0,1
0,0,2,1973677,1973676,0,1,0,0,0,3,11672,-11620,0,0,0,0,2097143,11658,-11780,1,11853,-11781,0,0,0,194217709,0,61,61,62,0,0,72,62,0,0,0,0,0,0,0,0,0,0,1
0,0,3,1973678,1973677,1,0,1,0,0,0,11672,-11620,1,13140,10548,1,2097143,0,0,0,11853,-11781,0,0,0,194217709,0,61,61,62,0,0,73,62,0,0,0,0,0,0,0,0,0,0,1
0,0,4,1973679,1973678,0,0,0,0,0,1,11612,-11660,0,0,0,0,2097143,0,0,0,11853,-11781,1,0,0,194217709,0,61,61,62,0,0,73,62,0,0,0,0,0,0,0,0,0,0,1
0,0,5,1973680,1973679,0,0,0,0,0,2,11560,-11628,0,0,0,0,2097143,0,0,0,11853,-11781,0,1,421745,209411083,0,61,61,62,0,0,73,62,0,0,0,0,0,0,0,0,0,0,1
0,0,6,1973681,1973680,0,1,0,0,0,3,11560,-11628,0,0,0,0,2097143,-11926,11986,1,11537,-11720,0,0,0,193940455,0,62,62,62,0,0,73,62,0,0,0,0,0,0,0,0,0,0,1
0,0,7,1973682,1973681,1,0,1,0,0,0,11560,-11628,1,10008,-13248,1,2097143,0,0,0,11537,-11720,0,0,0,193940455,0,62,62,62,0,0,74,62,0,0,0,0,0,0,0,0,0,0,1
0,0,8,1973683,1973682,0,0,0,0,0,1,-11952,11960,0,0,0,0,2097143,0,0,0,11537,-11720,1,0,0,193940455,0,62,62,62,0,0,74,62,0,0,0,0,0,0,0,0,0,0,1
0,0,9,1973684,1973683,0,0,0,0,0,2,11656,-11712,0,0,0,0,2097143,0,0,0,11537,-11720,0,1,69455581,208786548,0,62,62,62,1,0,74,62,0,0,0,0,0,0,0,0,0,0,1
0,0,10,1973685,1973684,0,1,0,0,0,3,11656,-11712,0,0,0,0,2097143,-11710,-12005,1,11801,11789,0,0,0,192736008,69455581,63,63,62,0,0,74,62,0,0,0,0,0,0,0,0,0,0,1
0,0,11,1973686,1973685,1,0,1,0,0,0,11656,-11712,1,10190,-12880,1,2097143,0,0,0,11801,11789,0,0,0,192736008,69455581,63,63,62,0,0,75,62,0,0,0,0,0,0,0,0,0,0,1
0,0,12,1973687,1973686,0,0,0,0,0,1,12016,-11916,0,0,0,0,2097143,0,0,0,11801,11789,1,0,0,192736008,69455581,63,63,62,0,0,75,62,0,0,0,0,0,0,0,0,0,0,1
0,0,13,1973688,1973687,0,0,0,0,0,2,-11888,11912,0,0,0,0,2097143,0,0,0,11801,11789,0,1,430709,208172947,69455581,63,63,62,0,0,75,62,0,0,0,0,0,0,0,0,0,0,1
0,0,14,1973689,1973688,0,1,0,0,0,3,-11888,11912,0,0,0,0,2097143,11786,12041,1,-11980,11584,0,0,0,192134697,69455581,64,64,62,0,0,75,62,0,0,0,0,0,0,0,0,0,0,1
0,0,15,1973690,1973689,1,0,1,0,0,0,-11888,11912,1,10004,-12945,1,2097143,0,0,0,-11980,11584,0,0,0,192134697,69455581,64,64,62,0,0,76,62,0,0,0,0,0,0,0,0,0,0,1
0,0,16,1973691,1973690,0,0,0,0,0,1,-12084,-11500,0,0,0,0,2097143,0,0,0,-11980,11584,1,0,0,192134697,69455581,64,64,62,0,0,76,62,0,0,0,0,0,0,0,0,0,0,1
0,0,17,1973692,1973691,0,0,0,0,0,2,-11736,11520,0,0,0,0,2097143,0,0,0,-11980,11584,0,1,434957,208201399,69455581,64,64,62,0,0,76,62,0,0,0,0,0,0,0,0,0,0,1
0,0,18,1973693,1973692,0,1,0,0,0,3,-11736,11520,0,0,0,0,2097143,11508,-11968,1,11789,11831,0,0,0,192096843,69455581,65,65,62,0,0,76,62,0,0,0,0,0,0,0,0,0,0,1
0,0,19,1973694,1973693,1,0,1,0,0,0,-11736,11520,1,10208,-12999,1,2097143,0,0,0,11789,11831,0,0,0,192096843,69455581,65,65,62,0,0,77,62,0,0,0,0,0,0,0,0,0,0,1
0,0,20,1973695,1973694,0,0,0,0,0,1,12056,-11696,0,0,0,0,2097143,0,0,0,11789,11831,1,0,0,192096843,69455581,65,65,62,0,0,77,62,0,0,0,0,0,0,0,0,0,0,1
0,0,21,1973696,1973695,0,0,0,0,0,2,11876,11740,0,0,0,0,2097143,0,0,0,11789,11831,0,1,2072057,208224844,69455581,65,65,62,0,0,77,62,0,0,0,0,0,0,0,0,0,0,1
0,0,22,1973697,1973696,0,1,0,0,0,3,11876,11740,0,0,0,0,2097143,11650,-11577,1,11530,-11893,0,0,0,192330922,69455581,66,66,62,0,0,77,62,0,0,0,0,0,0,0,0,0,0,1
0,0,23,1973698,1973697,1,0,1,0,0,0,11876,11740,1,-10491,13184,1,2097143,0,0,0,11530,-11893,0,0,0,192330922,69455581,66,66,62,0,0,78,62,0,0,0,0,0,0,0,0,0,0,1
0,0,24,1973699,1973698,0,0,0,0,0,1,-12020,-11516,0,0,0,0,2097143,0,0,0,11530,-11893,1,0,0,192330922,69455581,66,66,62,0,0,78,62,0,0,0,0,0,0,0,0,0,0,1
0,0,25,1973700,1973699,0,0,0,0,0,2,11524,-11996,0,0,0,0,2097143,0,0,0,11530,-11893,0,1,2095893,207536629,69455581,66,66,62,0,0,78,62,0,0,0,0,0,0,0,0,0,0,1
0,0,26,1973701,1973700,0,1,0,0,0,3,11524,-11996,0,0,0,0,2097143,11526,-11610,1,11589,-11545,0,0,0,192107636,69455581,67,67,62,0,0,78,62,0,0,0,0,0,0,0,0,0,0,1
0,0,27,1973702,1973701,1,0,1,0,0,0,11524,-11996,1,13172,10210,1,2097143,0,0,0,11589,-11545,0,0,0,192107636,69455581,67,67,62,0,0,79,62,0,0,0,0,0,0,0,0,0,0,1
0,0,28,1973703,1973702,0,0,0,0,0,1,11908,-11696,0,0,0,0,2097143,0,0,0,11589,-11545,1,0,0,192107636,69455581,67,67,62,0,0,79,62,0,0,0,0,0,0,0,0,0,0,1
0,0,29,1973704,1973703,0,0,0,0,0,2,11744,11868,0,0,0,0,2097143,0,0,0,11589,-11545,0,1,2126858,207783080,69455581,67,67,62,0,0,79,62,0,0,0,0,0,0,0,0,0,0,1
0,0,30,1973705,1973704,0,1,0,0,0,3,11744,11868,0,0,0,0,2097143,11709,-11666,1,11716,-11890,0,0,0,191940178,69455581,68,68,62,0,0,79,62,0,0,0,0,0,0,0,0,0,0,1
0,0,31,1973706,1973705,1,0,1,0,0,0,11744,11868,1,9983,-13088,1,2097143,0,0,0,11716,-11890,0,0,0,191940178,69455581,68,68,62,0,0,80,62,0,0,0,0,0,0,0,0,0,0,1
0,0,32,1973707,1973706,0,0,0,0,0,1,11636,11976,0,0,0,0,2097143,0,0,0,11716,-11890,1,0,0,191940178,69455581,68,68,62,0,0,80,62,0,0,0,0,0,0,0,0,0,0,1
0,0,33,1973708,1973707,0,0,0,0,0,2,-12016,11544,0,0,0,0,2097143,0,0,0,11716,-11890,0,1,456250,208077853,69455581,68,68,62,0,0,80,62,0,0,0,0,0,0,0,0,0,0,1
0,0,34,1973709,1973708,0,1,0,0,0,3,-12016,11544,0,0,0,0,2097143,-12017,11809,1,-11769,12065,0,0,0,191588015,69455581,69,69,62,0,0,80,62,0,0,0,0,0,0,0,0,0,0,1
0,0,35,1973710,1973709,1,0,1,0,0,0,-12016,11544,1,10182,-12947,1,2097143,0,0,0,-11769,12065,0,0,0,191588015,69455581,69,69,62,0,0,81,62,0,0,0,0,0,0,0,0,0,0,1
0,0,36,1973711,1973710,0,0,0,0,0,1,-11968,-11804,0,0,0,0,2097143,0,0,0,-11769,12065,1,0,0,191588015,69455581,69,69,62,0,0,81,62,0,0,0,0,0,0,0,0,0,0,1
0,0,37,1973712,1973711,0,0,0,0,0,2,11868,11588,0,0,0,0,2097143,0,0,0,-11769,12065,0,1,439633,207784111,69455581,69,69,62,0,0,81,62,0,0,0,0,0,0,0,0,0,0,1
0,0,38,1973713,1973712,0,1,0,0,0,3,11868,11588,0,0,0,0,2097143,11836,11732,1,-11745,-12045,0,0,0,191562450,69455581,70,70,62,0,0,81,62,0,0,0,0,0,0,0,0,0,0,1
0,0,39,1973714,1973713,1,0,1,0,0,0,11868,11588,1,10070,-12941,1,2097143,0,0,0,-11745,-12045,0,0,0,191562450,69455581,70,70,62,0,0,82,62,0,0,0,0,0,0,0,0,0,0,1
0,0,40,1973715,1973714,0,0,0,0,0,1,11984,-11536,0,0,0,0,2097143,0,0,0,-11745,-12045,1,0,0,191562450,69455581,70,70,62,0,0,82,62,0,0,0,0,0,0,0,0,0,0,1
0,0,41,1973716,1973715,0,0,0,0,0,2,11556,11676,0,0,0,0,2097143,0,0,0,-11745,-12045,0,1,383330,207946259,69455581,70,70,62,0,0,82,62,0,0,0,0,0,0,0,0,0,0,1
0,0,42,1973717,1973716,0,1,0,0,0,3,11556,11676,0,0,0,0,2097143,11469,-11808,1,11720,12005,0,0,0,191571673,69455581,71,71,62,0,0,82,62,0,0,0,0,0,0,0,0,0,0,1
0,0,43,1973718,1973717,1,0,1,0,0,0,11556,11676,1,10154,-13037,1,2097143,0,0,0,11720,12005,0,0,0,191571673,69455581,71,71,62,0,0,83,62,0,0,0,0,0,0,0,0,0,0,1
0,0,44,1973719,1973718,0,0,0,0,0,1,-11868,-11640,0,0,0,0,2097143,0,0,0,11720,12005,1,0,0,191571673,69455581,71,71,62,0,0,83,62,0,0,0,0,0,0,0,0,0,0,1
0,0,45,1973720,1973719,0,0,0,0,0,2,11588,-11940,0,0,0,0,2097143,0,0,0,11720,12005,0,1,6978817,208394405,69455581,71,71,62,0,0,83,62,0,0,0,0,0,0,0,0,0,0,1
0,0,46,1973721,1973720,0,1,0,0,0,3,11588,-11940,0,0,0,0,2097143,11667,-11627,1,11552,-11845,0,0,0,192494418,69455581,72,72,62,0,0,83,62,0,0,0,0,0,0,0,0,0,0,1
0,0,47,1973722,1973721,1,0,1,0,0,0,11588,-11940,1,-10360,13261,1,2097143,0,0,0,11552,-11845,0,0,0,192494418,69455581,72,72,62,0,0,84,62,0,0,0,0,0,0,0,0,0,0,1
0,0,48,1973723,1973722,0,0,0,0,0,1,-11572,-11624,0,0,0,0,2097143,0,0,0,11552,-11845,1,0,0,192494418,69455581,72,72,62,0,0,84,62,0,0,0,0,0,0,0,0,0,0,1
0,0,49,1973724,1973723,0,0,0,0,0,2,11708,11820,0,0,0,0,2097143,0,0,0,11552,-11845,0,1,2147762,207728107,69455581,72,72,62,0,0,84,62,0,0,0,0,0,0,0,0,0,0,1
0,0,50,1973725,1973724,0,1,0,0,0,3,11708,11820,0,0,0,0,2097143,11547,-11642,1,11699,-11526,0,0,0,192169440,69455581,73,73,62,0,0,84,62,0,0,0,0,0,0,0,0,0,0,1
0,0,51,1973726,1973725,1,0,1,0,0,0,11708,11820,1,-10258,12854,1,2097143,0,0,0,11699,-11526,0,0,0,192169440,69455581,73,73,62,0,0,85,62,0,0,-11608,11921,1,1,0,1,0,0,0
0,0,52,1973727,1973726,0,0,0,0,0,1,-11576,-11576,0,0,0,0,2097143,0,0,0,11699,-11526,1,0,0,192169440,69455581,73,73,62,0,0,85,62,0,0,-11608,11921,0,0,0,1,0,0,0
0,0,53,1973728,1973727,0,0,0,0,0,2,-12020,11740,0,0,0,0,2097143,0,0,0,11699,-11526,0,1,10281232,206811574,69455581,73,73,62,0,0,85,62,0,0,11900,11466,0,0,0,1,0,0,0
0,0,54,1973729,1973728,0,1,0,0,0,3,-12020,11740,0,0,0,0,2097143,11628,-11741,1,11534,-11616,0,0,0,191374530,69455581,74,74,62,0,0,85,62,0,0,11900,11466,0,0,0,1,0,0,0
0,0,55,1973730,1973729,1,0,1,0,0,0,-12020,11740,1,13204,10223,1,2097143,0,0,0,11534,-11616,0,0,0,191374530,69455581,74,74,62,0,0,86,62,0,0,11900,11466,1,0,0,1,0,0,0
