# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-2,12777489,12777488,0,1,0,0,0,3,-11636,11532,0,0,0,0,2097143,11856,-11623,1,-11715,11771,0,0,0,193936644,0,53,53,55,0,0,64,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-1,12777490,12777489,1,0,1,0,0,0,-11636,11532,1,-8853,14201,1,2097143,0,0,0,-11715,11771,0,0,0,193936644,0,53,53,55,0,0,65,55,0,0,0,0,0,0,0,0,0,0,1
0,0,0,12777491,12777490,0,0,0,0,0,1,11452,11908,0,0,0,0,2097143,0,0,0,-11715,11771,1,0,0,193936644,0,53,53,55,0,0,65,55,0,0,0,0,0,0,0,0,0,0,1
0,0,1,12777492,12777491,0,0,0,0,0,2,-11652,11740,0,0,0,0,2097143,0,0,0,-11715,11771,0,1,431650,209777300,0,53,53,55,0,0,65,55,0,0,0,0,0,0,0,0,0,0,1
0,0,2,12777493,12777492,0,1,0,0,0,3,-11652,11740,0,0,0,0,2097143,11709,-11601,1,-11886,11498,0,0,0,193652809,0,54,54,55,0,0,65,55,0,0,0,0,0,0,0,0,0,0,1
0,0,3,12777494,12777493,1,0,1,0,0,0,-11652,11740,1,-14034,-8941,1,2097143,0,0,0,-11886,11498,0,0,0,193652809,0,54,54,55,0,0,66,55,0,0,0,0,0,0,0,0,0,0,1
0,0,4,12777495,12777494,0,0,0,0,0,1,11784,11452,0,0,0,0,2097143,0,0,0,-11886,11498,1,0,0,193652809,0,54,54,55,0,0,66,55,0,0,0,0,0,0,0,0,0,0,1
0,0,5,12777496,12777495,0,0,0,0,0,2,11800,-11900,0,0,0,0,2097143,0,0,0,-11886,11498,0,1,406706,209539888,0,54,54,55,0,0,66,55,0,0,0,0,0,0,0,0,0,0,1
0,0,6,12777497,12777496,0,1,0,0,0,3,11800,-11900,0,0,0,0,2097143,-11898,-11772,1,11944,11660,0,0,0,193251664,0,55,55,55,0,0,66,55,0,0,0,0,0,0,0,0,0,0,1
0,0,7,12777498,12777497,1,0,1,0,0,0,11800,-11900,1,8805,-14037,1,2097143,0,0,0,11944,11660,0,0,0,193251664,0,55,55,55,0,0,67,55,0,0,0,0,0,0,0,0,0,0,1
0,0,8,12777499,12777498,0,0,0,0,0,1,-11940,11804,0,0,0,0,2097143,0,0,0,11944,11660,1,0,0,193251664,0,55,55,55,0,0,67,55,0,0,0,0,0,0,0,0,0,0,1
0,0,9,12777500,12777499,0,0,0,0,0,2,11776,11724,0,0,0,0,2097143,0,0,0,11944,11660,0,1,69205765,209108501,0,55,55,55,1,0,67,55,0,0,0,0,0,0,0,0,0,0,1
0,0,10,12777501,12777500,0,1,0,0,0,3,11776,11724,0,0,0,0,2097143,11889,11777,1,-12049,11520,0,0,0,192943613,69205765,56,56,55,0,0,67,55,0,0,0,0,0,0,0,0,0,0,1
0,0,11,12777502,12777501,1,0,1,0,0,0,11776,11724,1,14110,8856,1,2097143,0,0,0,-12049,11520,0,0,0,192943613,69205765,56,56,55,0,0,68,55,0,0,0,0,0,0,0,0,0,0,1
0,0,12,12777503,12777502,0,0,0,0,0,1,11960,-12068,0,0,0,0,2097143,0,0,0,-12049,11520,1,0,0,192943613,69205765,56,56,55,0,0,68,55,0,0,0,0,0,0,0,0,0,0,1
