k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
179,51176,1,51176,191,chunk_140_209_r0,0
180,51177,1,51177,191,chunk_140_209_r0,0
181,51178,1,51178,191,chunk_140_209_r0,0
182,51179,1,51179,191,chunk_140_209_r0,0
183,51180,1,51180,191,chunk_140_209_r0,0
184,51181,1,51181,191,chunk_140_209_r0,0
185,51182,1,51182,191,chunk_140_209_r0,0
186,51183,1,51183,191,chunk_140_209_r0,0
187,51184,0,-1,191,chunk_140_209_r0,0
188,51185,0,-1,191,chunk_140_209_r0,0
189,51186,1,51186,191,chunk_140_209_r0,0
190,51187,1,51187,191,chunk_140_209_r0,0
191,51188,0,-1,191,chunk_140_209_r0,0
192,51189,1,51189,191,chunk_140_209_r0,0
193,51190,1,51190,191,chunk_140_209_r0,0
194,51191,1,51191,191,chunk_140_209_r0,0
195,51192,1,51192,191,chunk_140_209_r0,0
196,51193,1,51193,191,chunk_140_209_r0,0
197,51194,1,51194,191,chunk_140_209_r0,0
198,51195,1,51195,191,chunk_140_209_r0,0
199,51196,1,51196,191,chunk_140_209_r0,0
200,51197,1,51197,191,chunk_140_209_r0,0
201,51198,1,51198,191,chunk_140_209_r0,0
202,51199,1,51199,191,chunk_140_209_r0,0
203,51200,1,51200,191,chunk_140_209_r0,0
204,51201,1,51201,191,chunk_140_209_r0,0
205,51202,1,51202,191,chunk_140_209_r0,0
206,51203,1,51203,191,chunk_140_209_r0,0
207,51204,1,51204,191,chunk_140_209_r0,0
208,51205,1,51205,191,chunk_210_279_r0,0
209,51206,1,51206,191,chunk_210_279_r0,0
210,51207,1,51207,191,chunk_210_279_r0,0
211,51208,1,51208,191,chunk_210_279_r0,0
212,51209,1,51209,191,chunk_210_279_r0,0
213,51210,1,51210,191,chunk_210_279_r0,0
214,51211,1,51211,191,chunk_210_279_r0,0
215,51212,1,51212,191,chunk_210_279_r0,0
216,51213,1,51213,191,chunk_210_279_r0,0
217,51214,1,51214,191,chunk_210_279_r0,0
218,51215,1,51215,191,chunk_210_279_r0,0
219,51216,1,51216,191,chunk_210_279_r0,0
220,51217,1,51217,191,chunk_210_279_r0,0
221,51218,1,51218,191,chunk_210_279_r0,0
222,51219,1,51219,191,chunk_210_279_r0,0
223,51220,1,51220,191,chunk_210_279_r0,0
224,51221,1,51221,191,chunk_210_279_r0,0
225,51222,1,51222,191,chunk_210_279_r0,0
226,51223,1,51223,191,chunk_210_279_r0,0
227,51224,1,51224,191,chunk_210_279_r0,0
228,51225,1,51225,191,chunk_210_279_r0,0
229,51226,1,51226,191,chunk_210_279_r0,0
230,51227,1,51227,191,chunk_210_279_r0,0
231,51228,1,51228,191,chunk_210_279_r0,0
232,51229,1,51229,191,chunk_210_279_r0,0
233,51230,1,51230,191,chunk_210_279_r0,0
234,51231,1,51231,191,chunk_210_279_r0,0
235,51232,1,51232,191,chunk_210_279_r0,0
236,51233,1,51233,191,chunk_210_279_r0,0
237,51234,1,51234,191,chunk_210_279_r0,0
238,51235,1,51235,191,chunk_210_279_r0,0
239,51236,1,51236,191,chunk_210_279_r0,0
240,51237,1,51237,191,chunk_210_279_r0,0
241,51238,1,51238,191,chunk_210_279_r0,0
242,51239,1,51239,191,chunk_210_279_r0,0
243,51240,0,-1,191,chunk_210_279_r0,0
244,51241,0,-1,191,chunk_210_279_r0,0
245,51242,1,51242,191,chunk_210_279_r0,0
246,51243,1,51243,191,chunk_210_279_r0,0
247,51244,0,-1,191,chunk_210_279_r0,0
248,51245,0,-1,191,chunk_210_279_r0,0
249,51246,1,51246,191,chunk_210_279_r0,0
250,51247,1,51247,191,chunk_210_279_r0,0
251,51248,0,-1,191,chunk_210_279_r0,0
252,51249,1,51249,191,chunk_210_279_r0,0
253,51250,1,51250,191,chunk_210_279_r0,0
254,51251,1,51251,191,chunk_210_279_r0,0
255,51252,1,51252,191,chunk_210_279_r0,0
256,51253,1,51253,191,chunk_210_279_r0,0
257,51254,0,-1,191,chunk_210_279_r0,0
258,51255,1,51255,191,chunk_210_279_r0,0
259,51256,1,51256,191,chunk_210_279_r0,0
260,51257,1,51257,191,chunk_210_279_r0,0
261,51258,1,51258,191,chunk_210_279_r0,0
262,51259,0,-1,191,chunk_210_279_r0,0
263,51260,1,51260,191,chunk_210_279_r0,0
264,51261,1,51261,191,chunk_210_279_r0,0
265,51262,1,51262,191,chunk_210_279_r0,0
266,51263,1,51263,191,chunk_210_279_r0,0
267,51264,1,51264,191,chunk_210_279_r0,0
268,51265,1,51265,191,chunk_210_279_r0,0
269,51266,1,51266,191,chunk_210_279_r0,0
270,51267,1,51267,191,chunk_210_279_r0,0
271,51268,1,51268,191,chunk_210_279_r0,0
272,51269,1,51269,191,chunk_210_279_r0,0
273,51270,1,51270,191,chunk_210_279_r0,0
274,51271,1,51271,191,chunk_210_279_r0,0
275,51272,1,51272,191,chunk_210_279_r0,0
276,51273,1,51273,191,chunk_210_279_r0,0
277,51274,1,51274,191,chunk_210_279_r0,0
278,51275,1,51275,191,chunk_280_349_r0,0
279,51276,1,51276,191,chunk_280_349_r0,0
280,51277,1,51277,191,chunk_280_349_r0,0
281,51278,1,51278,191,chunk_280_349_r0,0
282,51279,1,51279,191,chunk_280_349_r0,0
283,51280,1,51280,191,chunk_280_349_r0,0
284,51281,0,-1,191,chunk_280_349_r0,0
285,51282,1,51282,191,chunk_280_349_r0,0
286,51283,1,51283,191,chunk_280_349_r0,0
287,51284,1,51284,191,chunk_280_349_r0,0
288,51285,0,-1,191,chunk_280_349_r0,0
289,51286,1,51286,191,chunk_280_349_r0,0
290,51287,1,51287,191,chunk_280_349_r0,0
291,51288,1,51288,191,chunk_280_349_r0,0
292,51289,1,51289,191,chunk_280_349_r0,0
293,51290,1,51290,191,chunk_280_349_r0,0
294,51291,1,51291,191,chunk_280_349_r0,0
295,51292,1,51292,191,chunk_280_349_r0,0
296,51293,1,51293,191,chunk_280_349_r0,0
297,51294,1,51294,191,chunk_280_349_r0,0
298,51295,1,51295,191,chunk_280_349_r0,0
299,51296,1,51296,191,chunk_280_349_r0,0
300,51297,0,-1,191,chunk_280_349_r0,0
301,51298,1,51298,191,chunk_280_349_r0,0
302,51299,1,51299,191,chunk_280_349_r0,0
303,51300,1,51300,191,chunk_280_349_r0,0
304,51301,1,51301,191,chunk_280_349_r0,0
305,51302,1,51302,191,chunk_280_349_r0,0
