# ref -10dB BW = 19.39 MHz, -20dB = 22.16
path,bw20,env,bw10,reclass
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r4/pair.iq,37.95,0.4883,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r5/pair.iq,38.19,0.4725,36.60,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r6/pair.iq,38.38,0.5053,36.66,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r1/pair.iq,37.86,0.4858,19.62,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r2/pair.iq,37.95,0.5364,19.62,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r3/pair.iq,35.98,0.4875,0.00,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r4/pair.iq,38.19,0.4820,36.47,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r5/pair.iq,36.66,0.4839,14.16,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r6/pair.iq,38.19,0.4797,36.60,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r1/pair.iq,38.19,0.4687,36.66,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r2/pair.iq,37.95,0.4580,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r3/pair.iq,37.77,0.5186,18.97,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqacc_20260731_230411_r1/pair.iq,38.09,0.4902,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqacc_20260731_230411_r3/pair.iq,38.21,0.4225,36.73,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r1/pair.iq,37.86,0.5126,19.62,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r2/pair.iq,37.73,0.5367,19.26,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r3/pair.iq,37.97,0.5348,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_tuned_r2/pair.iq,38.43,0.5190,36.53,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_tuned_r3/pair.iq,38.37,0.5203,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r1/pair.iq,38.20,0.4551,36.42,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r2/pair.iq,38.19,0.4678,36.36,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r3/pair.iq,38.14,0.4732,36.29,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_092620_a1/pair.iq,39.82,0.5548,20.11,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_092954_a2/pair.iq,39.92,0.5471,19.57,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_093702_a4/pair.iq,39.46,0.5128,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_bn2_r3/pair.iq,38.39,0.5309,36.79,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r1/pair.iq,36.60,0.5036,14.16,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r2/pair.iq,38.08,0.4963,36.52,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r3/pair.iq,38.01,0.5065,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cfo0_M32/pair.iq,38.19,0.5216,36.29,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cyc_probe/pair.iq,39.92,0.5415,19.51,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/diag146_half/pair.iq,34.93,0.5807,32.99,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_recheck_B2/pair.iq,34.87,0.4425,33.48,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_recheck_B/pair.iq,34.92,0.4188,33.53,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_swap_B/pair.iq,34.87,0.4472,32.73,DEGENERATE
